2022-11-14 14:44:51,583 [background-preinit] INFO  o.h.validator.internal.util.Version 21 - HV000001: Hibernate Validator 6.1.7.Final
2022-11-14 14:44:51,642 [main] INFO  io.dataease.Application ? - Starting Application v1.16.0 using Java 1.8.0_345 on 7aee7ce13750 with PID 1 (/opt/apps/backend-1.16.0.jar started by root in /deployments)
2022-11-14 14:44:51,651 [main] INFO  io.dataease.Application ? - The following profiles are active: whole
2022-11-14 14:45:22,600 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ? - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-11-14 14:45:22,612 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ? - Bootstrapping Spring Data LDAP repositories in DEFAULT mode.
2022-11-14 14:45:24,455 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ? - Finished Spring Data repository scanning in 1825 ms. Found 0 LDAP repository interfaces.
2022-11-14 14:45:24,640 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 250 - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-11-14 14:45:24,649 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ? - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-11-14 14:45:25,105 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ? - Finished Spring Data repository scanning in 351 ms. Found 0 Redis repository interfaces.
2022-11-14 14:45:28,266 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker ? - Bean 'shiroConfig' of type [io.dataease.auth.config.ShiroConfig$$EnhancerBySpringCGLIB$$98f04b8c] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-11-14 14:45:35,524 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker ? - Bean 'f2CRealm' of type [io.dataease.auth.config.F2CRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-11-14 14:45:36,418 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 376 - Bean 'securityManager' of type [org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-11-14 14:45:37,668 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 376 - Bean 'authorizationAttributeSourceAdvisor' of type [org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-11-14 14:45:37,749 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker ? - Bean 'com.github.xiaoymin.knife4j.spring.configuration.Knife4jAutoConfiguration' of type [com.github.xiaoymin.knife4j.spring.configuration.Knife4jAutoConfiguration$$EnhancerBySpringCGLIB$$d0417ec7] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-11-14 14:45:38,454 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 376 - Bean 'org.springframework.boot.autoconfigure.flyway.FlywayAutoConfiguration' of type [org.springframework.boot.autoconfigure.flyway.FlywayAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-11-14 14:45:38,515 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker ? - Bean 'stringOrNumberMigrationVersionConverter' of type [org.springframework.boot.autoconfigure.flyway.FlywayAutoConfiguration$StringOrNumberToMigrationVersionConverter] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
